show_id,type,title,director,cast,date_added,release_year,rating,duration,listed_in,description,plataforma,age_category,imdbRating
s550,TV Show,Unlikely Animal Friends,Desconocido,Mark Keller,2020-05-01,2012,TV-G,3 Seasons,"Animals & Nature, Docuseries, Family",This series reveals the stories of unlikely duos that have struck up unusual relationships.,disney,Para todas las edades / niños pequeños,7.3
s554,TV Show,America's Funniest Home Videos,Desconocido,Tom Bergeron,2020-04-24,1989,TV-PG,9 Seasons,"Comedy, Family, Fantasy",Home videos compete for cash prizes. Program is presented as originally created.,disney,Para niños mayores,6.1
s556,TV Show,Tangled: The Series,Desconocido,"Zachary Levi, Mandy Moore, Eden Espinosa, Clancy Brown",2020-04-23,2016,TV-Y7,3 Seasons,"Action-Adventure, Animation, Comedy",Rapunzel must discover the secret of her hair.,disney,Para niños mayores,No se encontró información para: Tangled:%20The%20Series
s558,TV Show,Brain Games,Desconocido,Neil Harris,2020-04-17,2011,TV-G,8 Seasons,"Docuseries, Family, Game Show / Competition",Brain Games features games & experiments revealing the science of how your brain works.,disney,Para todas las edades / niños pequeños,8.2
s559,TV Show,Disney Mickey and the Roadster Racers - Chip 'N' Dale's Nutty Tales (Shorts),Desconocido,"Tress MacNeille, Corey Burton, Bret Iwan, Russi Taylor, Bill Farmer, Daniel Ross",2020-04-17,2017,TV-Y,2 Seasons,"Action-Adventure, Animation, Buddy",Chip and Dale set off on nutty adventures!,disney,Para todas las edades / niños pequeños,No se encontró información para: Disney%20Mickey%20and%20the%20Roadster%20Racers%20-%20Chip%20'N'%20Dale's%20Nutty%20Tales%20(Shorts)
s562,TV Show,Tron Uprising,Desconocido,"Elijah Wood, Bruce Boxleitner, Emmanuelle Chriqui, Mandy Moore, Nate Corddry, Lance Henriksen",2020-04-14,2011,TV-Y7,1 Season,"Action-Adventure, Animation, Kids","Inside the computer world of the grid, Beck becomes the unlikely leader of a revolution.",disney,Para niños mayores,8.2
s564,TV Show,Disney Playtime with Puppy Dog Pals (Shorts),Desconocido,No Disponible,2020-04-10,2017,TV-Y,2 Seasons,"Animation, Kids",Come play with the Puppy Dog Pals!,disney,Para todas las edades / niños pequeños,No se encontró información para: Disney%20Playtime%20with%20Puppy%20Dog%20Pals%20(Shorts)
s566,TV Show,Paradise Islands,Desconocido,Michael Izqueirdo,2020-04-10,2017,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",The islands that lie between Asia and Australia can claim to be the biologically richest on earth.,disney,Para niños mayores,No se encontró información para: Paradise%20Islands
s567,TV Show,Tut's Treasures: Hidden Secrets,Desconocido,Mark Bazeley,2020-04-10,2018,TV-PG,1 Season,"Docuseries, Historical",The pharaohâs priceless grave goods are being reunited for the first time since their discovery.,disney,Para niños mayores,7.3
s579,TV Show,Fish Hooks,Desconocido,"Chelsea Kane, Kyle Massey, Justin Roiland",2020-04-03,2010,TV-G,3 Seasons,"Animation, Comedy, Coming of Age","Milo, Bea and Oscar are three BFFs, best fish friends.",disney,Para todas las edades / niños pequeños,5.0
s589,TV Show,Sonny With A Chance,Desconocido,"Demi Lovato, Tiffany Thornton, Sterling Knight, Brandon Smith, Doug Brochu, Allisyn Arm",2020-04-03,2008,TV-G,2 Seasons,"Comedy, Coming of Age, Romance",A teen girl is selected from a nationwide search to join the cast of a sketch-comedy series.,disney,Para todas las edades / niños pequeños,6.0
s599,TV Show,Be Our Chef,Desconocido,Angela Kinsey,2020-03-27,2020,TV-G,1 Season,"Family, Game Show / Competition",Angela Kinsey hosts five families in a Disney-inspired cooking competition.,disney,Para todas las edades / niños pequeños,6.5
s601,TV Show,Disney I Didn't Do It,Desconocido,"Olivia Holt, Austin North, Piper Curda, Peyton Clark, Sarah Gilman",2020-03-20,2013,TV-G,2 Seasons,"Comedy, Family",Fraternal twins try to explain exactly what just happened.,disney,Para todas las edades / niños pequeños,No se encontró información para: Disney%20I%20Didn't%20Do%20It
s602,TV Show,Disney Insider,Desconocido,No Disponible,2020-03-20,2020,TV-PG,1 Season,"Anthology, Docuseries","âDisney Insiderâ tells the stories behind Disneyâs films, parks, destinations, toys & more.",disney,Para niños mayores,6.6
s603,TV Show,Disney Vampirina Ghoul Girls Rock! (Shorts),Desconocido,"Isabella Crovetti, Jordan Davis, ViviAnn Yee, Mitchell Whitfield, Wanda Sykes, Ian Corlett",2020-03-20,2017,TV-Y7,2 Seasons,"Animation, Fantasy, Kids",Rock out to music videos from The Ghoul Girls!,disney,Para niños mayores,No se encontró información para: Disney%20Vampirina%20Ghoul%20Girls%20Rock!%20(Shorts)
s611,TV Show,101 Dalmatian Street,Desconocido,"Josh Brener, Michaela Dietz, Ella Kenion, Rhashan Stone",2020-02-28,2018,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Pups Dolly and Dylan adventure to find their spots.,disney,Para niños mayores,5.9
s613,TV Show,Shop Class,Desconocido,No Disponible,2020-02-28,2020,TV-G,1 Season,"Family, Game Show / Competition",Teams are challenged with designing and building their very unique creations.,disney,Para todas las edades / niños pequeños,6.9
s615,TV Show,Star Wars Resistance,Desconocido,"Christopher Sean, Josh Brener, Scott Lawrence, Suzie McGrath, As Himself",2020-02-25,2018,TV-Y7,2 Seasons,"Action-Adventure, Animation, Kids","Kaz begins his spy mission, but is in over his head.",disney,Para niños mayores,5.3
s616,TV Show,Lost Cities With Albert Lin,Desconocido,Dr. Albert Len,2020-02-21,2019,TV-PG,1 Season,"Action-Adventure, Docuseries, Historical",This series delivers stories with hi-tech imagery to bring the mysteries of the past to life.,disney,Para niños mayores,7.6
s619,TV Show,Star Wars: The Clone Wars,Desconocido,"Tom Kane, Matt Lanter, Ashley Eckstein, James Arnold Taylor, Dee Baker, Corey Burton",2020-02-21,2008,TV-PG,7 Seasons,"Action-Adventure, Animation, Science Fiction","The saga continues, set in a faraway galaxy!",disney,Para niños mayores,8.4
s622,TV Show,Fairy Tale Weddings,Desconocido,"Stephen Boss, Allison Holker",2020-02-14,2017,TV-PG,2 Seasons,"Docuseries, Family, Lifestyle",A behind-the-scenes look at Disney's magical weddings.,disney,Para niños mayores,6.7
s625,TV Show,That's So Raven,Desconocido,"Raven , Orlando Brown, Kyle Massey, Anneliese van der Pol, TâKeyah KeymÃ¡h, Rondell Sheridan",2020-02-08,2002,TV-G,4 Seasons,"Comedy, Coming of Age, Fantasy",Raven Baxter is a typical teenager who just happens to be psychic.,disney,Para todas las edades / niños pequeños,6.7
s633,TV Show,Diary of a Future President,Desconocido,"Tess Romero, Selenis Leyva, Charlie Bushnell, Michael Weaver",2020-01-17,2020,TV-PG,2 Seasons,"Comedy, Coming of Age, Family","Elena CaÃ±ero-Reed will one day become the U.S. President, but for now, sheâs in middle school.",disney,Para niños mayores,6.7
s634,TV Show,High School Musical: The Musical: The Series: The Sing-Along,Desconocido,"Olivia Rodrigo, Joshua Bassett, Matt Cornett, Sofia Wylie, Larry Saperstein",2020-01-17,2019,TV-PG,1 Season,"Comedy, Coming of Age, Drama",Sing along as the East High Wildcats put on a production of High School Musical: The Musical!,disney,Para niños mayores,No se encontró información para: High%20School%20Musical:%20The%20Musical:%20The%20Series:%20The%20Sing-Along
s635,TV Show,America's National Parks,Desconocido,C.T. Taylor,2020-01-15,2015,TV-14,1 Season,"Animals & Nature, Docuseries",Experience the breathtaking landscapes and majestic animals of eight U.S. National Parks.,disney,Para adolescentes,7.6
s636,TV Show,Continent 7: Antarctica,Desconocido,Chris Browning,2020-01-15,2016,TV-PG,1 Season,"Action-Adventure, Animals & Nature, Docuseries",Experience how science is conducted as scientists and survival experts join forces in Antarctica.,disney,Para niños mayores,7.2
